property_id,county,city,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,sale_date,rate_week_ending,mortgage_rate_30yr_fixed_pct,sale_price,price_per_sqft,hoa_fee,latitude,longitude,parking_spaces,pool,fireplace,stories,sale_year,sale_month,sale_quarter,property_age,is_new_construction,bath_bed_ratio,sqft_per_bedroom,amenity_score,has_hoa,is_single_family,avg_zip_code_sale_price,avg_city_sale_price,n_parks,kid_friendly_score,Attractions,Restaurants,Things_to_do_score,resturant_score,walk_score,transit_score,bike_score,coolness_index
AL0031759,Alameda,Oakland,94601,Single Family,4,1.5,1418,5812,1956,2025-06-10,2025-06-05,6.85,1353350,954,0,37.811028,-122.249967,3,0,0,2,2025,6,2,68,0,0.3,283.6,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031760,Alameda,Oakland,94601,Condo,2,1.5,944,0,1977,2025-02-28,2025-02-27,6.76,484044,512,770,37.86071,-122.410079,2,0,0,1,2025,2,1,47,0,0.5,314.6666666666667,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031761,Alameda,Oakland,94601,Townhouse,2,2.0,1528,2262,1999,2023-09-29,2023-09-28,7.31,769329,503,290,37.819436,-122.384364,2,0,0,1,2023,9,3,25,0,0.6666666666666666,509.3333333333333,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031762,Alameda,Oakland,94601,Condo,2,1.0,1053,0,1971,2022-01-10,2022-01-06,3.22,498603,473,794,37.878885,-122.420941,3,0,0,1,2022,1,1,53,0,0.3333333333333333,351.0,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031763,Alameda,Oakland,94601,Single Family,5,3.0,3013,4274,1956,2025-02-09,2025-02-06,6.89,2643262,877,0,37.891024,-122.263073,2,0,1,1,2025,2,1,68,0,0.5,502.1666666666667,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031764,Alameda,Oakland,94601,Condo,2,1.0,1670,0,1961,2025-02-27,2025-02-27,6.76,1154007,691,377,37.847437,-122.374676,3,0,0,1,2025,2,1,63,0,0.3333333333333333,556.6666666666666,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031765,Alameda,Oakland,94601,Single Family,3,2.0,3384,8258,1943,2024-09-15,2024-09-12,6.2,3175501,938,0,37.820662,-122.191692,3,0,1,2,2024,9,3,81,0,0.5,846.0,4,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031766,Alameda,Oakland,94601,Single Family,6,2.5,3227,8513,1985,2023-11-23,2023-11-22,7.29,3009894,932,0,37.944975,-122.178643,2,0,1,1,2023,11,4,39,0,0.3571428571428571,461.0,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031767,Alameda,Oakland,94601,Condo,2,1.5,2040,0,1994,2025-03-21,2025-03-20,6.67,1129242,553,432,37.881328,-122.252439,1,0,0,1,2025,3,1,30,0,0.5,680.0,1,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031768,Alameda,Oakland,94601,Single Family,3,3.0,1610,5650,1987,2023-02-15,2023-02-09,6.12,1460613,907,0,37.683656,-122.195335,2,0,0,2,2023,2,1,37,0,0.75,402.5,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031769,Alameda,Oakland,94601,Condo,3,2.5,2197,0,1958,2025-06-13,2025-06-12,6.84,1109471,504,353,37.672442,-122.37336,2,0,0,1,2025,6,2,66,0,0.625,549.25,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031770,Alameda,Oakland,94601,Single Family,4,3.0,2563,3500,1979,2022-06-03,2022-06-02,5.09,2066722,806,0,37.735745,-122.31686,2,0,1,1,2022,6,2,45,0,0.6,512.6,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031771,Alameda,Oakland,94601,Condo,2,2.0,1837,0,1995,2024-10-17,2024-10-17,6.44,978051,532,631,37.863021,-122.231961,2,0,1,1,2024,10,4,29,0,0.6666666666666666,612.3333333333334,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031772,Alameda,Oakland,94601,Single Family,4,3.0,2754,3101,1992,2022-05-02,2022-04-28,5.1,2257119,819,215,37.755288,-122.352068,3,0,0,2,2022,5,2,32,0,0.6,550.8,3,1,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031773,Alameda,Oakland,94601,Single Family,4,3.0,3207,9772,1976,2024-05-04,2024-05-02,7.22,2431203,758,80,37.690601,-122.360851,2,0,0,2,2024,5,2,48,0,0.6,641.4,2,1,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031774,Alameda,Oakland,94601,Single Family,3,1.5,2559,5416,1940,2022-03-06,2022-03-03,3.76,1557384,608,0,37.862106,-122.36124,2,0,1,2,2022,3,1,84,0,0.375,639.75,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031775,Alameda,Oakland,94601,Single Family,4,2.5,3212,9726,1985,2022-11-16,2022-11-10,7.08,2848538,886,0,37.91961,-122.330854,2,0,0,2,2022,11,4,39,0,0.5,642.4,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031776,Alameda,Oakland,94601,Single Family,3,2.5,2312,3219,1980,2023-06-28,2023-06-22,6.67,2009684,869,0,37.879416,-122.371451,2,0,0,2,2023,6,2,44,0,0.625,578.0,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031777,Alameda,Oakland,94601,Single Family,3,2.5,2498,4439,1979,2025-11-26,2025-11-26,6.23,2658713,1064,0,37.848762,-122.243234,2,0,1,2,2025,11,4,45,0,0.625,624.5,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031778,Alameda,Oakland,94601,Single Family,4,2.0,3132,8437,2004,2021-03-26,2021-03-25,3.17,2030226,648,0,37.719434,-122.347497,2,1,1,2,2021,3,1,20,0,0.4,626.4,4,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031779,Alameda,Oakland,94601,Single Family,3,2.5,1212,4966,1948,2023-07-13,2023-07-13,6.96,1020663,842,0,37.76932,-122.325402,1,0,0,2,2023,7,3,76,0,0.625,303.0,1,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031780,Alameda,Oakland,94601,Condo,2,2.0,1530,0,2009,2022-05-31,2022-05-26,5.1,834273,545,490,37.915409,-122.414093,2,0,0,1,2022,5,2,15,0,0.6666666666666666,510.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031781,Alameda,Oakland,94601,Townhouse,4,2.5,950,1562,1955,2022-05-11,2022-05-05,5.27,478191,503,572,37.920844,-122.39157,2,0,0,1,2022,5,2,69,0,0.5,190.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031782,Alameda,Oakland,94601,Single Family,3,3.0,2886,4891,2003,2021-05-16,2021-05-13,2.94,1887164,653,0,37.845883,-122.128947,1,0,0,2,2021,5,2,21,0,0.75,721.5,1,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031783,Alameda,Oakland,94601,Single Family,4,1.5,2685,6685,2015,2023-02-28,2023-02-23,6.5,1775930,661,0,37.735769,-122.378543,2,1,0,1,2023,2,1,9,0,0.3,537.0,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031784,Alameda,Oakland,94601,Single Family,4,4.0,1331,9035,2000,2024-04-06,2024-04-04,6.82,1314783,987,200,37.941799,-122.368646,4,0,0,2,2024,4,2,24,0,0.8,266.2,4,1,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031785,Alameda,Oakland,94601,Single Family,4,1.5,2419,9260,1961,2022-11-02,2022-10-27,7.08,2002179,827,0,37.784731,-122.332192,3,0,0,1,2022,11,4,63,0,0.3,483.8,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
